cell_idx,dist_mean,dist_std,yaw_mean,yaw_std,count
2632,161.08728301691383,71.99140481915275,103.02397918701172,101.71754137097975,2.0
2633,95.02062956486637,70.45907210298309,93.15455627441406,63.68832216469859,4.0
2634,174.47635655763756,,78.990966796875,,1.0
2635,141.85934642382577,84.3657193478556,109.81298446655273,73.66666489556894,4.0
2638,208.64135861893672,,138.09716796875,,1.0
2639,206.21153170929654,,99.73196411132807,,1.0
2640,182.39728386871275,43.62803801270676,79.5132703781128,49.30054975404033,8.0
2641,106.0661385671549,75.79274893270494,89.06021202935113,65.19609340874823,9.0
2642,128.74126984175842,76.28827577027067,94.05965396336147,63.95492541178662,7.0
2645,111.51635607134241,90.20503898477402,85.20123536246163,42.77952834899868,7.0
2646,147.06799321229454,67.19400979508318,87.86997801065445,58.260933028704585,8.0
2652,177.47419476347895,78.19163254727293,78.72966384887694,47.66722241517837,6.0
2653,209.8661588517498,49.975619046659574,57.55995178222656,23.813926985053296,2.0
2654,145.94493623236625,59.55439722446291,56.60215323311942,64.2617423197657,7.0
2655,119.28458320059137,105.41675888088905,123.19722493489583,43.24608391156968,3.0
2656,177.85047864378708,,76.47756958007812,,1.0
2657,166.6036428225685,64.11000920495654,102.73722139994304,60.04180970797802,6.0
2658,164.78917990593322,81.77497914082852,79.07759179009332,59.585465674795465,9.0
2659,142.01004725454948,74.07046209843837,78.98930909898546,60.43601126487333,9.0
2660,171.69916376852058,83.02723428939123,104.03483527047294,66.73028996726593,7.0
2664,186.9396429839126,86.12085193967155,64.24721781412761,88.9216029147731,3.0
2665,140.58310750100827,79.1705358875036,105.12510776519775,71.66758666754116,11.0
2666,229.579936884834,6.479531676577814,90.24641036987305,15.263266070705473,2.0
2667,122.3719885090373,76.80483759631886,92.58487129211426,62.64094587656192,12.0
2668,222.4663020865622,4.019305578227051,86.57720756530762,110.97452412360745,2.0
2673,167.03425979069715,90.28389982558339,104.39029693603516,75.46014799593044,3.0
2674,223.80909172352034,,177.8053741455078,,1.0
2675,233.94306463754768,,15.184402465820312,,1.0
